S.No,e-publish Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Reference Link
1.,19-May-2023 10:00 AM.,08-Sep-2023 04:00 PM,09-Sep-2023 04:30 PM,[1069/MPMRCL/2023/ BHIN-16_DVE]  [1069/MPMRCL/2023/ BHIN-16][2023_MPMRC_154554_1],Madhya Pradesh Metro Rail Corporation Limited,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SI6YYIs04tsATDqkJpY%2BNmg%3D%3D
2.,30-May-2023 06:00 PM.,05-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,"[Master Planning for Commercial Development on City-Side of Dholera International Airport, Dholera, District Ahmedabad]  [Master Planning for City Side at Dholera Airport][2023_AAI_155579_1]",Airports Authority of India||Western Region - AAI||AHMEDABAD - AAI||ENGG ELECT-VAAH - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Su%2F5S4umwY4w1GyibmHp8JA%3D%3D
3.,22-May-2023 10:00 AM.,12-Sep-2023 04:00 PM,13-Oct-2023 04:30 PM,[ 1065/MPMRCL/2023/Package BH-04 Design Construction of Twin Tunnel Cut Cover Cross passages with OR without sump Ramps two UG Stations including Architectural finishing Water Supply Sanitary Installation and Drainage works in entire UG ]  [1065/MPMRCL/2023/Package BH-04][2023_MPMRC_154653_1],Madhya Pradesh Metro Rail Corporation Limited,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2BXcBX9B9iVN8ZYejmk%2B5SA%3D%3D
4.,13-Jun-2023 06:00 PM.,28-Aug-2023 11:00 AM,29-Aug-2023 11:00 AM,"[DEVELOPMENT OF ECOPARK AT NK (NORTH KARANPURA), DISTT. RANCHI, JHARKHAND]  [WAP/ROPEWAYS/2023-24/08][2023_WAPCO_157189_1]",WAPCOS Limited||Centre for Infrastructure Development||Ropeways - CID,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S4DtCzG3FBwTLKd5Scqmr0w%3D%3D
5.,08-Jun-2023 09:00 AM.,24-Aug-2023 04:00 PM,25-Aug-2023 04:00 PM,"[DEVELOPMENT OF ECOPARK AT BARKA-SAYAL, DISTT. RAMGARGH, JHARKHAND]  [WAP/ROPEWAYS/2023-24/05][2023_WAPCO_156677_1]",WAPCOS Limited||Centre for Infrastructure Development||Ropeways - CID,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S3mnTEsuYTbAYRIf5FIDYUA%3D%3D
6.,18-Jul-2023 04:30 PM.,24-Aug-2023 04:30 PM,25-Aug-2023 04:30 PM,[SITC and Management of Concessionaire Sales Tracking System for various Commercial Facilities at AAI]  [CL-11041/22/2023-COMMERCIAL][2023_AAI_161487_1],Airports Authority of India||CHQ - AAI||Commercial - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SlG28o93KQpJMNxNnXetecA%3D%3D
7.,20-Jul-2023 05:00 PM.,25-Aug-2023 03:30 PM,26-Aug-2023 03:30 PM,[LETTING OUT ADVERTISEMENT RIGHTS AT AVNL YEDDUMAILARAM HYDERABAD ESTATE.]  [76025/TE-29/OFMK/EOC/LETTING OUT/23-24][2023_AVNL_161642_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SqY5SpzgGi84mTA3jYbexKw%3D%3D
8.,29-Jul-2023 04:00 PM.,26-Aug-2023 02:00 PM,29-Aug-2023 03:00 PM,[REPLACEMENT OF VFDs INSTALLED AT JLPL PUMPING STATIONS WITH NEW VFDs INCLUDING DESIGN SUPPLY INSTALATION TESTING AND COMMISSIONING DSITC WITH COMPREHENSIVE AMC]  [GAIL/CNP/JPR23NK057/2023-24][2023_GAIL_162260_1],GAIL (India) Limited||GAIL India Limited- Jaipur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S29VoXTVCOEnv6n2MimYAZw%3D%3D
9.,26-Jul-2023 03:00 PM.,30-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,"[License for Tour operator cum Hotel Reservation Counter in Arrival Area new Terminal Building T-1 BPI Airport, Bhubaneswar]  [AAI/BBSR/COML/T1/TO HRC/2023 ][2023_AAI_162402_1]",Airports Authority of India||Eastern Region - AAI||BHUBANESWAR - AAI||COMMERCIAL-VEBS - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2FObcVjtRrSj33H%2FvlTifqg%3D%3D
10.,25-Jul-2023 05:00 PM.,25-Aug-2023 12:30 PM,26-Aug-2023 01:00 PM,[Rectification of 02 Nos Black Spots under PIU Chhindwara]  [NHAI/RO-MP/CHW/Blackspot/2023][2023_NHAI_162306_1],National Highways Authority of India||RO-Bhopal - NHAI||Jabalpur - NHAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SG0MD1jXrNKuBO7O%2Be%2BpDGQ%3D%3D
